Altium Designer Pick and Place Locations
C:\Users\yms\source\repos\um-leo-cots\pcbs\rev0\LEO_COTS_panelization_rev0\Project Outputs for LEO_COTS_panelization_rev0\Pick Place\Pick Place for LEO_COTS_panelization_rev0.csv

========================================================================================================================
File Design Information:

Date:       21/11/21
Time:       18:50
Revision:   d93da813e4f069fa096cd740e1b85eaa778ac526
Variant:    No variations
Units used: mil

"Designator","Description","Footprint","Comment","Layer","Center-X(mil)","Center-Y(mil)","Rotation","Supplier 1","Supplier Part Number 1"
"P41","CONN UMCC JACK STR 50OHM SMD","1909763-1","1909763-1","TopLayer","1474.902","2007.874","90","Digi-Key","A118077CT-ND"
"P31","CONN UMCC JACK STR 50OHM SMD","1909763-1","1909763-1","TopLayer","1383.366","1433.071","270","Digi-Key","A118077CT-ND"
"R32","RES 50 OHM 0201","CAPC0603X04N","RES_0201","TopLayer","1203.402","1530.583","270","",""
"R31","RES 1K OHM 0201","CAPC0603X04N","RES_0201","TopLayer","914.402","1529.583","180","",""
"J31","10-pin JTAG","FTSH-105-01-F-DV-007-K","10-Pin JTAG","TopLayer","719.701","1595.882","0","Digi-Key","FTSH-105-01-L-DV-007-K-P-ND"
"C30","CAP CER 1uF 0201","CAPC0603X04N","CAP_0201","TopLayer","1046.701","1684.882","270","",""
"C39","CAP CER 12pF 0201","CAPC0603X04N","CAP_0201","TopLayer","1148.402","1650.583","270","",""
"Y32","32.768 kHz SMD Crystal","XTAL_ECS-.327-7-12-TR","ECS-.327-7-12-TR","TopLayer","1190.402","1609.583","90","",""
"Y31","24 MHz crystal","LFXTAL081608","830108160801","TopLayer","1070.701","1396.882","180","",""
"U31","Ultra-Low-Power Dual-Band Wireless MCU","QFN40P400X400X100-33N","CC1350F128RSMR","TopLayer","1052.402","1539.583","180","Digi-Key","296-48897-1-ND"
"C38","CAP CER 12pF 0201","CAPC0603X04N","CAP_0201","TopLayer","1173.402","1530.583","90","",""
"C37","CAP CER 12pF 0201","CAPC0603X04N","CAP_0201","TopLayer","1193.402","1488.583","180","",""
"C36","CAP CER 12pF 0603","1608[0603]","CAP","TopLayer","1212.599","1417.323","270","",""
"C35","CAP CER 100nF 0201","CAPC0603X04N","CAP_0201","TopLayer","1122.047","1409.449","90","",""
"C34","CAP CER 10uF 0603","CAPC1608X05N","CAP_0603","TopLayer","1157.480","1401.575","270","",""
"C33","CAP CER 100nF 0201","CAPC0603X04N","CAP_0201","TopLayer","1005.402","1400.583","90","",""
"C32","CAP CER 100nF 0201","CAPC0603X04N","CAP_0201","TopLayer","914.402","1563.583","0","",""
"C31","CAP CER 100nF 0201","CAPC0603X04N","CAP_0201","TopLayer","1077.701","1684.882","270","",""
"BT31","CR2032 Battery Holder","BAT-HLD-001-TR","BATT_CR2032","BottomLayer","805.118","1535.433","180","Digi-Key","BAT-HLD-001-TRCT-ND"
"P21","CONN UMCC JACK STR 50OHM SMD","1909763-1","1909763-1","TopLayer","1670.768","1062.992","270","Digi-Key","A118077CT-ND"
"U22","3x Frequency Multiplier","RMK-3-331+","RMK-3-332+","TopLayer","1393.691","1019.685","90","",""
"R22","RES 50 OHM 0201","CAPC0603X04N","RES_0201","TopLayer","1203.402","1058.142","270","",""
"R21","RES 1K OHM 0201","CAPC0603X04N","RES_0201","TopLayer","914.402","1057.142","180","",""
"J21","10-pin JTAG","FTSH-105-01-F-DV-007-K","10-Pin JTAG","TopLayer","719.701","1123.441","0","Digi-Key","FTSH-105-01-L-DV-007-K-P-ND"
"C20","CAP CER 1uF 0201","CAPC0603X04N","CAP_0201","TopLayer","1046.701","1212.441","270","",""
"C29","CAP CER 12pF 0201","CAPC0603X04N","CAP_0201","TopLayer","1148.402","1178.142","270","",""
"Y22","32.768 kHz SMD Crystal","XTAL_ECS-.327-7-12-TR","ECS-.327-7-12-TR","TopLayer","1190.402","1137.142","90","",""
"Y21","24 MHz crystal","LFXTAL081608","830108160801","TopLayer","1070.701","924.441","180","",""
"U21","Ultra-Low-Power Dual-Band Wireless MCU","QFN40P400X400X100-33N","CC1350F128RSMR","TopLayer","1052.402","1067.142","180","Digi-Key","296-48897-1-ND"
"C28","CAP CER 12pF 0201","CAPC0603X04N","CAP_0201","TopLayer","1173.402","1058.142","90","",""
"C27","CAP CER 12pF 0201","CAPC0603X04N","CAP_0201","TopLayer","1193.402","1016.142","180","",""
